City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
242,Kuytun,RU,54.3419,101.5036,7.0,93,84,5.88,broken clouds
243,Codrington,AU,-38.2667,141.9667,52.09,85,100,10.65,overcast clouds
244,Solnechnyy,RU,50.7214,136.6319,10.06,89,25,3.56,scattered clouds
245,Sur,OM,22.5667,59.5289,77.2,62,28,4.03,scattered clouds
246,Kavaratti,IN,10.5669,72.642,79.68,54,46,3.76,scattered clouds
247,Myrhorod,UA,49.9685,33.6089,32.79,85,100,8.5,overcast clouds
248,Bairiki,KI,1.3292,172.9752,80.6,83,20,6.91,few clouds
249,Samarai,PG,-10.6167,150.6667,83.41,71,6,15.39,clear sky
250,Altay,CN,47.8667,88.1167,24.71,95,100,3.13,light snow
251,Mitsamiouli,KM,-11.3847,43.2844,78.76,75,0,9.48,clear sky
252,Vitim,RU,59.4511,112.5578,-23.64,100,96,1.88,overcast clouds
253,Altamont,US,42.2068,-121.7372,39.78,68,100,1.99,overcast clouds
254,Ugoofaaru,MV,5.6667,73.0,81.27,70,23,10.29,few clouds
255,Talnakh,RU,69.4865,88.3972,-27.8,98,100,1.36,overcast clouds
256,Sorong,ID,-0.8833,131.25,80.44,80,100,5.91,overcast clouds
257,Fare,PF,-16.7,-151.0167,79.57,78,5,6.73,clear sky
258,Lasa,IT,46.6166,10.7002,38.7,92,100,8.97,overcast clouds
259,Tiksi,RU,71.6872,128.8694,-22.38,100,78,1.9,broken clouds
260,Hambantota,LK,6.1241,81.1185,75.52,82,19,8.32,few clouds
261,Pietarsaari,FI,63.65,22.6833,22.89,85,19,6.55,few clouds
262,Agadez,NE,19.75,10.25,68.29,20,75,8.01,broken clouds
263,Mkushi,ZM,-13.6202,29.3939,69.8,63,17,3.2,few clouds
264,Maldonado,UY,-34.6667,-54.9167,63.79,74,95,12.19,overcast clouds
265,Pyapon,MM,16.2833,95.6833,73.92,91,41,7.02,scattered clouds
266,Porto Novo,BJ,6.4965,2.6036,82.22,79,8,5.61,clear sky
267,Ancud,CL,-41.8697,-73.8203,56.03,95,100,9.51,overcast clouds
268,Troitsko-Pechorsk,RU,62.7084,56.1964,-17.28,100,31,1.59,scattered clouds
269,Acapulco,MX,16.8634,-99.8901,87.62,62,0,8.05,clear sky
270,Bandarbeyla,SO,9.4942,50.8122,78.44,70,24,19.15,few clouds
271,Iqaluit,CA,63.7506,-68.5145,8.33,78,20,5.75,few clouds
272,Mehamn,NO,71.0357,27.8492,28.35,93,0,6.91,clear sky
273,Lubao,PH,14.9167,120.55,82.11,87,89,4.52,overcast clouds
274,Veraval,IN,20.9,70.3667,74.25,39,48,9.64,scattered clouds
275,Aquiraz,BR,-3.9014,-38.3911,84.29,65,39,14.05,scattered clouds
276,Sao Joao Da Barra,BR,-21.6403,-41.0511,80.69,81,86,14.92,overcast clouds
277,Porto Belo,BR,-27.1578,-48.5531,76.95,92,100,6.24,light rain
278,Yashkul,RU,46.1711,45.3435,51.75,92,100,6.04,overcast clouds
279,Srandakan,ID,-7.9386,110.2506,76.62,88,100,5.12,overcast clouds
280,Linxia,CN,35.6003,103.2064,37.56,47,100,1.81,overcast clouds
281,Alice Springs,AU,-23.7,133.8833,63.95,48,100,0.0,overcast clouds
282,Feijo,BR,-8.1642,-70.3536,82.42,70,98,3.91,moderate rain
283,Touros,BR,-5.1989,-35.4608,79.65,65,61,15.97,broken clouds
284,Coihaique,CL,-45.5752,-72.0662,64.35,55,75,5.75,broken clouds
285,Khatanga,RU,71.9667,102.5,-32.84,100,93,3.31,overcast clouds
286,Hofn,IS,64.2539,-15.2082,36.86,72,64,17.54,broken clouds
287,Tura,IN,25.5198,90.2201,59.27,81,0,3.74,clear sky
288,Ternuvate,UA,47.8305,36.1276,36.75,95,100,14.88,overcast clouds
289,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,36.19,70,40,11.18,scattered clouds
290,Aykhal,RU,66.0,111.5,-9.92,98,100,5.03,overcast clouds
291,Pitimbu,BR,-7.4706,-34.8086,77.59,76,100,12.24,overcast clouds
292,Umm Kaddadah,SD,13.6017,26.6876,73.87,26,39,12.66,scattered clouds
293,Saint George,US,37.1041,-113.5841,54.43,29,0,3.44,clear sky
294,Zhuzhou,CN,27.8333,113.15,59.13,87,92,6.78,overcast clouds
295,Kalanguy,RU,51.0167,116.5167,-5.69,94,5,3.22,clear sky
296,Pachino,IT,36.7186,15.0907,61.27,64,90,26.71,overcast clouds
